wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaczepionych;%_zaszczepionych_pe�n�_dawk�
30;wielkopolskie;3063;Leszno;3063011;Leszno;;62854;34418;33375;54,7586;53,0992
12;małopolskie;1206;krakowski;1206052;gm.w Kocmyrzów-Luborzyca;Krakowski;16020;8834;8506;55,1436;53,0961
30;wielkopolskie;3023;słupecki;3023042;gm.w Ostrowite;Koniński;5054;2769;2681;54,7883;53,0471
2;dolnośląskie;261;Jelenia Góra;261011;Jelenia Góra;;78335;42929;41549;54,8018;53,0401
24;śląskie;2402;bielski;2402072;gm.w Kozy;Bielski;13091;7121;6942;54,3962;53,0288
24;śląskie;2402;bielski;2402043;gm.m-w. Czechowice-Dziedzice;;45490;24860;24119;54,6494;53,0204
32;zachodniopomorskie;3261;Koszalin;3261011;Koszalin;;106235;58010;56307;54,6054;53,0023
32;zachodniopomorskie;3209;koszaliński;3209053;gm.m-w. Mielno;Koszaliński;4881;2677;2587;54,8453;53,0014
2;dolnośląskie;220;trzebnicki;220042;gm.w Wisznia Mała;Wrocławski;10624;5798;5630;54,5745;52,9932
10;łódzkie;1017;wieluński;1017093;gm.m-w. Wieluń;;31137;17004;16495;54,6103;52,9756
8;lubuskie;810;żagański;810021;Żagań;Zielonogórski;25265;13740;13381;54,3835;52,9626
6;lubelskie;614;puławski;614011;Puławy;;46965;25666;24871;54,6492;52,9565
2;dolnośląskie;219;świdnicki;219011;Świdnica;;56222;30740;29770;54,6761;52,9508
30;wielkopolskie;3019;pilski;3019073;gm.m-w. Ujście;Pilski;7946;4358;4207;54,8452;52,9449
24;śląskie;2414;bieruńsko-lędziński;2414021;Imielin;Katowicki;9269;5060;4907;54,5906;52,9399
26;świętokrzyskie;2602;jędrzejowski;2602063;gm.m-w. Sędziszów;Kielecki;12352;6732;6536;54,5013;52,9145
30;wielkopolskie;3006;jarociński;3006023;gm.m-w. Jarocin;;45801;25028;24217;54,6451;52,8744
30;wielkopolskie;3030;wrzesiński;3030023;gm.m-w. Miłosław;Poznański;10144;5507;5362;54,2882;52,8588
24;śląskie;2403;cieszyński;2403011;Cieszyn;;33981;18431;17955;54,2391;52,8384
24;śląskie;2402;bielski;2402062;gm.w Jaworze;Bielski;7443;4040;3932;54,2792;52,8282
