teryt,municipality,%_vaccinated
2416083,gm.m-w. Szczekociny,51.4725
3213021,Sławno,51.4526
0217012,gm.w Borów,51.4318
3205023,gm.m-w. Gryfice,51.4272
1417052,gm.w Kołbiel,51.4268
2807021,Lubawa,51.4266
1219032,gm.w Kłaj,51.4212
0403032,gm.w Dobrcz,51.3966
2601013,gm.m-w. Busko-Zdrój,51.3732
0803063,gm.m-w. Trzciel,51.359
3204052,gm.w Osina,51.3558
0802022,gm.w Bobrowice,51.3445
0407042,gm.w Inowrocław,51.3297
3023072,gm.w Strzałkowo,51.3132
1006103,gm.m-w. Rzgów,51.3123
0803032,gm.w Przytoczna,51.2945
2414031,Lędziny,51.288
2410022,gm.w Kobiór,51.2774
1017032,gm.w Konopnica,51.237
1403072,gm.w Maciejowice,51.2298
0808063,gm.m-w. Zbąszynek,51.2269
1419092,gm.w Nowy Duninów,51.2189
0208021,Kłodzko,51.2168
0404072,gm.w Unisław,51.209
3214062,gm.w Kobylanka,51.2062
0802011,Gubin,51.204
1214053,gm.m-w. Proszowice,51.1835
3016032,gm.w Ryczywół,51.1702
2408042,gm.w Ornontowice,51.1248
0809053,gm.m-w. Nowogród Bobrzański,51.1246
0403052,gm.w Nowa Wieś Wielka,51.1204
2214052,gm.w Subkowy,51.1184
2603022,gm.w Czarnocin,51.1147
3023022,gm.w Lądek,51.113
3202033,gm.m-w. Drawno,51.1116
0803012,gm.w Bledzew,51.1096
1213043,gm.m-w. Kęty,51.1091
2611011,Starachowice,51.0979
1420082,gm.w Nowe Miasto,51.0825
2404132,gm.w Poczesna,51.0798
3025022,gm.w Krzykosy,51.068
2216042,gm.w Stary Targ,51.0638
0419013,gm.m-w. Barcin,51.0462
3022013,gm.m-w. Bojanowo,51.0448
2213082,gm.w Osiek,51.0324
3030012,gm.w Kołaczkowo,51.0187
0410053,gm.m-w. Szubin,51.0174
1419022,gm.w Bodzanów,50.9936
3212012,gm.w Bielice,50.9866
1206123,gm.m-w. Słomniki,50.9478
1206012,gm.w Czernichów,50.9249
0407033,gm.m-w. Gniewkowo,50.9116
2807073,gm.m-w. Zalewo,50.9031
2608052,gm.w Złota,50.9017
1433011,Węgrów,50.8995
1422052,gm.w Krasne,50.8989
1214042,gm.w Pałecznica,50.8969
2216053,gm.m-w. Sztum,50.891
0419063,gm.m-w. Żnin,50.8883
1406012,gm.w Belsk Duży,50.8851
